##OS
1:AppName=20476|:0.000200:0.000200:1.000000
1:AppName=62376|:0.000200:0.000200:1.000000
1:AppName=18349|:0.000200:0.000200:1.000000
1:AppName=62281|:0.000200:0.000200:1.000000
1:AppName=11963|:0.000200:0.000200:1.000000
1:AppName=18033|:0.000200:0.000200:1.000000
1:AppName=16431|:0.000200:0.000200:1.000000
1:AppName=小说易搜(小说搜索,下载,阅读工具)|:0.000200:0.000200:1.000000
1:AppName=4091|:0.000200:0.000200:1.000000
1:AppName=18037|:0.000200:0.000200:1.000000
1:AppName=宝宝学数字和加法游戏|:0.000200:0.000200:1.000000
1:AppName=5054|:0.000200:0.000200:1.000000
1:AppName=58041|:0.000200:0.000200:1.000000
1:AppName=24952|:0.000200:0.000200:1.000000
1:AppName=53500|:0.000200:0.000200:1.000000
1:AppName=Lock Screen Widget|:0.000200:0.000200:1.000000
1:AppName=17574|:0.000200:0.000200:1.000000
1:AppName=2013畅销玄幻小说(遮天完美世界武动乾坤等)|:0.000200:0.000200:1.000000
1:AppName=39302|:0.000200:0.000200:1.000000
1:AppName=App Lock (Smart App Protector)|:0.000200:0.000200:1.000000
1:AppName=48286|:0.000200:0.000200:1.000000
1:AppName=38141|:0.000200:0.000200:1.000000
1:AppName=2478|:0.000200:0.000200:1.000000
1:AppName=51386|:0.000200:0.000200:1.000000
1:AppName=言情小说排行榜(2007-NOW)|:0.000200:0.000200:1.000000
1:AppName=9306|:0.000200:0.000200:1.000000
1:AppName=Mivo|:0.000200:0.000200:1.000000
1:AppName=22845|:0.000200:0.000200:1.000000
1:AppName=7278|:0.000200:0.000200:1.000000
1:AppName=2668|:0.000100:0.000100:1.000000
1:AppName=点球达人™|:0.000100:0.000100:1.000000
1:AppName=31992|:0.000100:0.000100:1.000000
1:AppName=38648|:0.000100:0.000100:1.000000
1:AppName=8991|:0.000100:0.000100:1.000000
1:AppName=InstaFrame - 拼贴 + 照片 特效 编辑 for Instagram, 微博 免费版|:0.000100:0.000100:1.000000
1:AppName=31100|:0.000100:0.000100:1.000000
1:AppName=28460|:0.000100:0.000100:1.000000
1:AppName=1091|:0.000100:0.000100:1.000000
1:AppName=40619|:0.000100:0.000100:1.000000
